query,labels
"can i see gastroentrologist today evng ?, for tat hw can I make appointment??, can u plz tel me doctor name?? ",Appointment 
"Now I am at Qatar, I plan to come on 26-July-2017 , probably I need 27th July 2017 appointment, +974 66058656 my number , if you provide your execute number I can call them. ",Appointment 
"We need dr. g. venkatraman MBBS, MD , DM's appointment ",Appointment 
i want to book appointment on 21st may for cardiologist ,Appointment 
book appointment for health checkup on 22nd may at 5pm ,Appointment 
I would like to book an appointment ,Appointment 
"I AM HABIB , I WANT A APPOINTMENT FOR TOMMOROW ",Appointment 
I would like to know the obgyn doctor consulting hours?. We need to get appoinment ? ,Appointment 
i want to consullt Dr. Balamurali can i get consultation time? ,Appointment 
"I am Raghavan from Coimbatore. Want an appointment with Dr.R.Balasubramaniam , tomorrow afternoon by 3.00 ",Appointment 
need an appointment for Dr N Sekar ,Appointment 
"Hello, I want to book an appointment ",Appointment 
How can I get appointment ,Appointment 
"I need an appointment for LFT test for tomorrow morning, how much is it? ",Appointment 
Hi! I would like to have an appointment with Dr. Niraj Joshi . Can you help me with it please? ,Appointment 
I want to book an appointment for tomorrow for health checkup ,Appointment 
I need an appointment with Dr. Shriraam Mahadevan ... Please let me know his availability ,Appointment 
hi would like to book an appointment with Dr.Sivaram Kannan today ,Appointment 
"Want to fix an appointmenbt with SR. UROLOGIST , DR. GANESH IN CONNECTION WITH KIDNEY TRANSPALNT FROM DELHI. APPOINTMENT FOR DOCTOR ON FRIDAY 287.8.17 AT 3. PM ONWARDS ",Appointment 
Need appointment with Dr N Sekar for patient coming from Trichy . Expected to arrive at 10 pm today ,Appointment 
i need an appointment tomorrow ,Appointment 
I need an appointment for urologist ,Appointment 
we need to fix an appointment tomorrow 7pm with Dr.Shweta Rahul ,Appointment 
"Hello, when is the earliest I can get an appointment with Dr Suresh Kumar . Thanks. ",Appointment 
Hi I need an appointment with Dr Shriraam Mahadevan on 27th August . ,Appointment 
Can I make a reservation today at 17:15 for Dr. Vijay Karthick in Chennai Alwarpet. ,Appointment 
I want an appointment with Dr. S. mahalakshmi on 02.08 . ,Appointment 
can I have an appointment with Dr.Vadivel Kumaran ? ,Appointment 
Please give appointment for health check up tomorrow morning ,Appointment 
Consultation with Dr Supriya pulmonologist . ,Appointment 
"I would like to have dr. Balasubramanian appointment tomorrow , nephrologist ",Appointment 
i want to consult dr. Balasubramanian ,Appointment 
need appointment from Trichy for orthopaedics ,Appointment 
i am looking for appointment in trichy heart city ,Appointment 
book appointment for neurologist ,Appointment 
book appointment for cardiologist ,Appointment 
book appointment for chennai ,Appointment 
book appointment in hosur for cardiologist ,Appointment 
i want Consulting time ,Appointment 
Coming Wednesday please Make an appointment for vascular surgeon and send me the appointment details ,Appointment 
Can i have Dr.Raguram 's appointment by next friday ,Appointment 
Need appointment on Sunday for full body checkup ,Appointment 
"can i get an appointment with Dr Senthikumar ,urologist at the earliest ",Appointment 
I need appoinment today 6.PM ,Appointment 
need an appoint for tomorrow with dr. sivarajan ,Appointment 
appointment tomorrow ,Appointment 
"In Master Health Checkup, What are all the tests covered..? ",Health checkup 
How much for well women check ,Health checkup 
"I want full body checkup, what are the packages? ",Health checkup 
what is the cost for master health checkup for female age 42 ,Health checkup 
